"year","scenario","esm","mem","biomass"
2074,"ssp1","ipsl-cm6a-lr","apecosm",901249123405368
2075,"ssp1","ipsl-cm6a-lr","apecosm",902945758935682
2076,"ssp1","ipsl-cm6a-lr","apecosm",889383722887412
2077,"ssp1","ipsl-cm6a-lr","apecosm",876016993767703
2078,"ssp1","ipsl-cm6a-lr","apecosm",882016775233569
2079,"ssp1","ipsl-cm6a-lr","apecosm",909261061427944
2080,"ssp1","ipsl-cm6a-lr","apecosm",896519164850913
2081,"ssp1","ipsl-cm6a-lr","apecosm",883863698114303
2082,"ssp1","ipsl-cm6a-lr","apecosm",892444630680528
2083,"ssp1","ipsl-cm6a-lr","apecosm",874800978251504
2084,"ssp1","ipsl-cm6a-lr","apecosm",866704141436228
2085,"ssp1","ipsl-cm6a-lr","apecosm",867232095738301
2086,"ssp1","ipsl-cm6a-lr","apecosm",885867847035184
2087,"ssp1","ipsl-cm6a-lr","apecosm",901024808019481
2088,"ssp1","ipsl-cm6a-lr","apecosm",881966453816266
2089,"ssp1","ipsl-cm6a-lr","apecosm",890574308691470
2090,"ssp1","ipsl-cm6a-lr","apecosm",906560344997552
2091,"ssp1","ipsl-cm6a-lr","apecosm",903982404348831
2092,"ssp1","ipsl-cm6a-lr","apecosm",910905235252093
2093,"ssp1","ipsl-cm6a-lr","apecosm",901043733497899
2094,"ssp1","ipsl-cm6a-lr","apecosm",884621848026070
2095,"ssp1","ipsl-cm6a-lr","apecosm",894634973035330
2096,"ssp1","ipsl-cm6a-lr","apecosm",911356415845207
2097,"ssp1","ipsl-cm6a-lr","apecosm",919029846177359
2098,"ssp1","ipsl-cm6a-lr","apecosm",902079949803912
2099,"ssp1","ipsl-cm6a-lr","apecosm",877213150542957
2100,"ssp1","ipsl-cm6a-lr","apecosm",881503778550530
2015,"ssp5","ipsl-cm6a-lr","apecosm",959235887302593
2016,"ssp5","ipsl-cm6a-lr","apecosm",946292909979091
2017,"ssp5","ipsl-cm6a-lr","apecosm",912862856132608
2018,"ssp5","ipsl-cm6a-lr","apecosm",908411987607019
2019,"ssp5","ipsl-cm6a-lr","apecosm",914582470145602
2020,"ssp5","ipsl-cm6a-lr","apecosm",924919900309745
2021,"ssp5","ipsl-cm6a-lr","apecosm",925119297319035
2022,"ssp5","ipsl-cm6a-lr","apecosm",914027736205175
2023,"ssp5","ipsl-cm6a-lr","apecosm",927792200895976
2024,"ssp5","ipsl-cm6a-lr","apecosm",938473112930505
2025,"ssp5","ipsl-cm6a-lr","apecosm",922712400647188
2026,"ssp5","ipsl-cm6a-lr","apecosm",923573605142229
2027,"ssp5","ipsl-cm6a-lr","apecosm",927196912488134
2028,"ssp5","ipsl-cm6a-lr","apecosm",918823184950597
2029,"ssp5","ipsl-cm6a-lr","apecosm",896258242976772
2030,"ssp5","ipsl-cm6a-lr","apecosm",877467212317294
2031,"ssp5","ipsl-cm6a-lr","apecosm",887048886519755
2032,"ssp5","ipsl-cm6a-lr","apecosm",897313356785806
2033,"ssp5","ipsl-cm6a-lr","apecosm",901495731634845
2034,"ssp5","ipsl-cm6a-lr","apecosm",913504614660012
2035,"ssp5","ipsl-cm6a-lr","apecosm",911278981135955
2036,"ssp5","ipsl-cm6a-lr","apecosm",906980335032239
2037,"ssp5","ipsl-cm6a-lr","apecosm",906111535425428
2038,"ssp5","ipsl-cm6a-lr","apecosm",908421596041327
2039,"ssp5","ipsl-cm6a-lr","apecosm",887586943885368
2040,"ssp5","ipsl-cm6a-lr","apecosm",889929867548109
2041,"ssp5","ipsl-cm6a-lr","apecosm",893231094156039
2042,"ssp5","ipsl-cm6a-lr","apecosm",895097293650686
2043,"ssp5","ipsl-cm6a-lr","apecosm",891192021665432
2044,"ssp5","ipsl-cm6a-lr","apecosm",868807922982826
2045,"ssp5","ipsl-cm6a-lr","apecosm",868868479370553
2046,"ssp5","ipsl-cm6a-lr","apecosm",883894110391105
2047,"ssp5","ipsl-cm6a-lr","apecosm",885286357035014
2048,"ssp5","ipsl-cm6a-lr","apecosm",862940287281097
2049,"ssp5","ipsl-cm6a-lr","apecosm",868820221593766
2050,"ssp5","ipsl-cm6a-lr","apecosm",890928507748427
2051,"ssp5","ipsl-cm6a-lr","apecosm",885677290842927
2052,"ssp5","ipsl-cm6a-lr","apecosm",864886797542126
2053,"ssp5","ipsl-cm6a-lr","apecosm",859394531916823
2054,"ssp5","ipsl-cm6a-lr","apecosm",869098915234587
2055,"ssp5","ipsl-cm6a-lr","apecosm",882570697933759
2056,"ssp5","ipsl-cm6a-lr","apecosm",867912996872849
2057,"ssp5","ipsl-cm6a-lr","apecosm",858986915732319
2058,"ssp5","ipsl-cm6a-lr","apecosm",866754898834948
2059,"ssp5","ipsl-cm6a-lr","apecosm",880176356695696
2060,"ssp5","ipsl-cm6a-lr","apecosm",874983283450101
2061,"ssp5","ipsl-cm6a-lr","apecosm",870221081456937
2062,"ssp5","ipsl-cm6a-lr","apecosm",886146718940040
2063,"ssp5","ipsl-cm6a-lr","apecosm",882954084791879
2064,"ssp5","ipsl-cm6a-lr","apecosm",865386261548679
2065,"ssp5","ipsl-cm6a-lr","apecosm",861302145283663
2066,"ssp5","ipsl-cm6a-lr","apecosm",847189038813057
2067,"ssp5","ipsl-cm6a-lr","apecosm",832816900964179
2068,"ssp5","ipsl-cm6a-lr","apecosm",849672993737078
2069,"ssp5","ipsl-cm6a-lr","apecosm",840795723389922
2070,"ssp5","ipsl-cm6a-lr","apecosm",844968758733872
2071,"ssp5","ipsl-cm6a-lr","apecosm",833096850674649
2072,"ssp5","ipsl-cm6a-lr","apecosm",835527587998376
2073,"ssp5","ipsl-cm6a-lr","apecosm",843492182930651
2074,"ssp5","ipsl-cm6a-lr","apecosm",843036337095516
2075,"ssp5","ipsl-cm6a-lr","apecosm",855303924593287
2076,"ssp5","ipsl-cm6a-lr","apecosm",846339138478999
2077,"ssp5","ipsl-cm6a-lr","apecosm",845064739207210
2078,"ssp5","ipsl-cm6a-lr","apecosm",842371117636301
2079,"ssp5","ipsl-cm6a-lr","apecosm",836205082536952
2080,"ssp5","ipsl-cm6a-lr","apecosm",825357651146584
2081,"ssp5","ipsl-cm6a-lr","apecosm",818578152362828
2082,"ssp5","ipsl-cm6a-lr","apecosm",824024915039836
2083,"ssp5","ipsl-cm6a-lr","apecosm",837163640469713
2084,"ssp5","ipsl-cm6a-lr","apecosm",819563638180595
2085,"ssp5","ipsl-cm6a-lr","apecosm",816246621478262
2086,"ssp5","ipsl-cm6a-lr","apecosm",821978328386335
2087,"ssp5","ipsl-cm6a-lr","apecosm",806307544741866
2088,"ssp5","ipsl-cm6a-lr","apecosm",805870975832361
2089,"ssp5","ipsl-cm6a-lr","apecosm",807817111218654
2090,"ssp5","ipsl-cm6a-lr","apecosm",801492592062514
2091,"ssp5","ipsl-cm6a-lr","apecosm",801892112536744
2092,"ssp5","ipsl-cm6a-lr","apecosm",803124332425533
2093,"ssp5","ipsl-cm6a-lr","apecosm",807310410407302
2094,"ssp5","ipsl-cm6a-lr","apecosm",818500371109604
2095,"ssp5","ipsl-cm6a-lr","apecosm",816094643286643
2096,"ssp5","ipsl-cm6a-lr","apecosm",804970590077845
2097,"ssp5","ipsl-cm6a-lr","apecosm",809655987562112
2098,"ssp5","ipsl-cm6a-lr","apecosm",810277018038463
2099,"ssp5","ipsl-cm6a-lr","apecosm",799878148937890
2100,"ssp5","ipsl-cm6a-lr","apecosm",804036208269883
1950,"historical","gfdl-esm4","boats",7068653882205504
1951,"historical","gfdl-esm4","boats",7070661546445290
1952,"historical","gfdl-esm4","boats",7050737756423031
1953,"historical","gfdl-esm4","boats",7021208031268002
1954,"historical","gfdl-esm4","boats",7040074348887298
1955,"historical","gfdl-esm4","boats",7046423433395647
1956,"historical","gfdl-esm4","boats",7065361040370097
1957,"historical","gfdl-esm4","boats",7051826456124444
1958,"historical","gfdl-esm4","boats",7039211038081042
1959,"historical","gfdl-esm4","boats",7022711101999748
1960,"historical","gfdl-esm4","boats",7066947649503945
1961,"historical","gfdl-esm4","boats",7034877787678898
1962,"historical","gfdl-esm4","boats",6996404888210004
1963,"historical","gfdl-esm4","boats",7005915240182967
1964,"historical","gfdl-esm4","boats",7036620743583602
1965,"historical","gfdl-esm4","boats",7037159725252261
1966,"historical","gfdl-esm4","boats",7054168934308660
1967,"historical","gfdl-esm4","boats",7086254864699913
1968,"historical","gfdl-esm4","boats",7063532608041614
1969,"historical","gfdl-esm4","boats",7084947078274268
1970,"historical","gfdl-esm4","boats",7088492838781862
1971,"historical","gfdl-esm4","boats",7086720644386796
1972,"historical","gfdl-esm4","boats",7068248029089341
1973,"historical","gfdl-esm4","boats",7057005035948930
1974,"historical","gfdl-esm4","boats",7064519389956098
1975,"historical","gfdl-esm4","boats",7051989803661920
1976,"historical","gfdl-esm4","boats",7016260014341438
1977,"historical","gfdl-esm4","boats",6988793579141230
1978,"historical","gfdl-esm4","boats",6967119217164296
1979,"historical","gfdl-esm4","boats",6947833836165280
1980,"historical","gfdl-esm4","boats",6966947088919275
1981,"historical","gfdl-esm4","boats",6932777446719377
1982,"historical","gfdl-esm4","boats",6879096136754162
1983,"historical","gfdl-esm4","boats",6933880970461075
1984,"historical","gfdl-esm4","boats",7001067724243657
1985,"historical","gfdl-esm4","boats",7031567652199083
1986,"historical","gfdl-esm4","boats",7078427518713796
1987,"historical","gfdl-esm4","boats",7101408858063245
1988,"historical","gfdl-esm4","boats",7147587344873710
1989,"historical","gfdl-esm4","boats",7102771378196212
1990,"historical","gfdl-esm4","boats",7050223415745792
1991,"historical","gfdl-esm4","boats",7022415060794108
1992,"historical","gfdl-esm4","boats",7043098963296232
1993,"historical","gfdl-esm4","boats",7032757141784678
1994,"historical","gfdl-esm4","boats",6988911472729773
1995,"historical","gfdl-esm4","boats",6988173749916166
1996,"historical","gfdl-esm4","boats",6970523668385107
1997,"historical","gfdl-esm4","boats",6981924747321113
1998,"historical","gfdl-esm4","boats",6969075357902188
1999,"historical","gfdl-esm4","boats",6935899615588572
2000,"historical","gfdl-esm4","boats",6900352922443777
2001,"historical","gfdl-esm4","boats",6893307192616983
2002,"historical","gfdl-esm4","boats",6874336658653710
2003,"historical","gfdl-esm4","boats",6833065662571648
2004,"historical","gfdl-esm4","boats",6803429269588058
2005,"historical","gfdl-esm4","boats",6801640959610964
2006,"historical","gfdl-esm4","boats",6828944839043346
2007,"historical","gfdl-esm4","boats",6832150675492998
2008,"historical","gfdl-esm4","boats",6817663910069165
2009,"historical","gfdl-esm4","boats",6790348773080670
2010,"historical","gfdl-esm4","boats",6828994409225260
2011,"historical","gfdl-esm4","boats",6818636024992700
2012,"historical","gfdl-esm4","boats",6758222000247920
2013,"historical","gfdl-esm4","boats",6686774474925974
2014,"historical","gfdl-esm4","boats",6695641548009401
2015,"ssp1","gfdl-esm4","boats",6702565812354758
2016,"ssp1","gfdl-esm4","boats",6689130730073886
2017,"ssp1","gfdl-esm4","boats",6604412541416063
2018,"ssp1","gfdl-esm4","boats",6624444487330466
2019,"ssp1","gfdl-esm4","boats",6625291770319696
2020,"ssp1","gfdl-esm4","boats",6604256640265280
2021,"ssp1","gfdl-esm4","boats",6560996815059913
2022,"ssp1","gfdl-esm4","boats",6578737079056079
2023,"ssp1","gfdl-esm4","boats",6576947724499970
2024,"ssp1","gfdl-esm4","boats",6561870376821492
2025,"ssp1","gfdl-esm4","boats",6525221363716507
2026,"ssp1","gfdl-esm4","boats",6522317136497292
2027,"ssp1","gfdl-esm4","boats",6546236029100836
2028,"ssp1","gfdl-esm4","boats",6540279940359782
2029,"ssp1","gfdl-esm4","boats",6512929838649139
2030,"ssp1","gfdl-esm4","boats",6486210505055114
2031,"ssp1","gfdl-esm4","boats",6469770332325409
2032,"ssp1","gfdl-esm4","boats",6515420582866387
2033,"ssp1","gfdl-esm4","boats",6474305729102840
2034,"ssp1","gfdl-esm4","boats",6446063609237789
2035,"ssp1","gfdl-esm4","boats",6470646137870176
2036,"ssp1","gfdl-esm4","boats",6420554919751104
2037,"ssp1","gfdl-esm4","boats",6402590566076872
2038,"ssp1","gfdl-esm4","boats",6424904909512653
2039,"ssp1","gfdl-esm4","boats",6432280111593089
2040,"ssp1","gfdl-esm4","boats",6446301930775978
2041,"ssp1","gfdl-esm4","boats",6392919700937924
2042,"ssp1","gfdl-esm4","boats",6369755954355454
2043,"ssp1","gfdl-esm4","boats",6357616572889600
2044,"ssp1","gfdl-esm4","boats",6371185113895369
2045,"ssp1","gfdl-esm4","boats",6343632679868642
2046,"ssp1","gfdl-esm4","boats",6344136976803554
2047,"ssp1","gfdl-esm4","boats",6374286913211400
2048,"ssp1","gfdl-esm4","boats",6370656163519142
2049,"ssp1","gfdl-esm4","boats",6327840035061837
2050,"ssp1","gfdl-esm4","boats",6340745023066668
