"climate_model","impact_model","forcing","time","damage"
"gfdl-esm4","ecotroph","ssp1",2017,-361671705853354
"gfdl-esm4","ecotroph","ssp1",2018,-190562618141540
"gfdl-esm4","ecotroph","ssp1",2019,-206942647120656
"gfdl-esm4","ecotroph","ssp1",2020,-197133104732416
"gfdl-esm4","ecotroph","ssp1",2021,-275783983969820
"gfdl-esm4","ecotroph","ssp1",2022,-274689944605982
"gfdl-esm4","ecotroph","ssp1",2023,-327540786564773
"gfdl-esm4","ecotroph","ssp1",2024,-278641583358248
"gfdl-esm4","ecotroph","ssp1",2025,-344138975515204
"gfdl-esm4","ecotroph","ssp1",2026,-242758680904755
"gfdl-esm4","ecotroph","ssp1",2027,-204974481044331
"gfdl-esm4","ecotroph","ssp1",2028,-258525655675850
"gfdl-esm4","ecotroph","ssp1",2029,-329053245492641
"gfdl-esm4","ecotroph","ssp1",2030,-361822921129605
"gfdl-esm4","ecotroph","ssp1",2031,-340263498504889
"gfdl-esm4","ecotroph","ssp1",2032,-242125869505151
"gfdl-esm4","ecotroph","ssp1",2033,-348494431920226
"gfdl-esm4","ecotroph","ssp1",2034,-333606866163951
"gfdl-esm4","ecotroph","ssp1",2035,-325320468124003
"gfdl-esm4","ecotroph","ssp1",2036,-390569495351480
"gfdl-esm4","ecotroph","ssp1",2037,-368506035173902
"gfdl-esm4","ecotroph","ssp1",2038,-309511752193652
"gfdl-esm4","ecotroph","ssp1",2039,-272985072946736
"gfdl-esm4","ecotroph","ssp1",2040,-223866316895054
"gfdl-esm4","ecotroph","ssp1",2041,-407544640172090
"gfdl-esm4","ecotroph","ssp1",2042,-471833979097390
"gfdl-esm4","ecotroph","ssp1",2043,-480371004838391
"gfdl-esm4","ecotroph","ssp1",2044,-396761699906059
"gfdl-esm4","ecotroph","ssp1",2045,-451186951449593
"gfdl-esm4","ecotroph","ssp1",2046,-402945865214879
"gfdl-esm4","ecotroph","ssp1",2047,-359388858268922
"gfdl-esm4","ecotroph","ssp1",2048,-386940074984824
"gfdl-esm4","ecotroph","ssp1",2049,-483416642780802
"gfdl-esm4","ecotroph","ssp1",2050,-366459009230930
"gfdl-esm4","ecotroph","ssp1",2051,-434737436817546
"gfdl-esm4","ecotroph","ssp1",2052,-310197797168305
"gfdl-esm4","ecotroph","ssp1",2053,-328339169316934
"gfdl-esm4","ecotroph","ssp1",2054,-472851661296912
"gfdl-esm4","ecotroph","ssp1",2055,-461787059064989
"gfdl-esm4","ecotroph","ssp1",2056,-445808726266799
"gfdl-esm4","ecotroph","ssp1",2057,-495033337957702
"gfdl-esm4","ecotroph","ssp1",2058,-393767567847838
"gfdl-esm4","ecotroph","ssp1",2059,-380330710538998
"gfdl-esm4","ecotroph","ssp1",2060,-410465918438573
"gfdl-esm4","ecotroph","ssp1",2061,-439682660832114
"gfdl-esm4","ecotroph","ssp1",2062,-312457023430962
"gfdl-esm4","ecotroph","ssp1",2063,-406804686046045
"gfdl-esm4","ecotroph","ssp1",2064,-385578698763842
"gfdl-esm4","ecotroph","ssp1",2065,-408798486746064
"gfdl-esm4","ecotroph","ssp1",2066,-442393709969259
"gfdl-esm4","ecotroph","ssp1",2067,-463649236397743
"gfdl-esm4","ecotroph","ssp1",2068,-539358012405813
"gfdl-esm4","ecotroph","ssp1",2069,-575670017462172
"gfdl-esm4","ecotroph","ssp1",2070,-483492238966518
"gfdl-esm4","ecotroph","ssp1",2071,-467328310985064
"gfdl-esm4","ecotroph","ssp1",2072,-532543811906161
"gfdl-esm4","ecotroph","ssp1",2073,-493148958187946
"gfdl-esm4","ecotroph","ssp1",2074,-386651833990433
"gfdl-esm4","ecotroph","ssp1",2075,-407977409959680
"gfdl-esm4","ecotroph","ssp1",2076,-365455502403039
"gfdl-esm4","ecotroph","ssp1",2077,-557583042853646
"gfdl-esm4","ecotroph","ssp1",2078,-674579711783397
"gfdl-esm4","ecotroph","ssp1",2079,-511227751596427
"gfdl-esm4","ecotroph","ssp1",2080,-505785049849060
"gfdl-esm4","ecotroph","ssp1",2081,-508022398893875
"gfdl-esm4","ecotroph","ssp1",2082,-737006053687056
"gfdl-esm4","ecotroph","ssp1",2083,-660502345867442
"gfdl-esm4","ecotroph","ssp1",2084,-427207798619403
"gfdl-esm4","ecotroph","ssp1",2085,-489579945075800
"gfdl-esm4","ecotroph","ssp1",2086,-556554535003715
"gfdl-esm4","ecotroph","ssp1",2087,-508204294103717
"gfdl-esm4","ecotroph","ssp1",2088,-580602447771433
"gfdl-esm4","ecotroph","ssp1",2089,-485131482551618
"gfdl-esm4","ecotroph","ssp1",2090,-582501473085666
"gfdl-esm4","ecotroph","ssp1",2091,-439564878873559
"gfdl-esm4","ecotroph","ssp1",2092,-458327827791183
"gfdl-esm4","ecotroph","ssp1",2093,-433012747472997
"gfdl-esm4","ecotroph","ssp1",2094,-405467912724687
"gfdl-esm4","ecotroph","ssp1",2095,-387477845104042
"gfdl-esm4","ecotroph","ssp1",2096,-399943457000932
"gfdl-esm4","ecotroph","ssp1",2097,-609048147326112
"gfdl-esm4","ecotroph","ssp1",2098,-576053308580100
"gfdl-esm4","ecotroph","ssp1",2099,-454564693105007
"gfdl-esm4","ecotroph","ssp1",2100,-493341085128522
"gfdl-esm4","ecotroph","ssp5",2015,-96634121537784
"gfdl-esm4","ecotroph","ssp5",2016,-256918884383524
"gfdl-esm4","ecotroph","ssp5",2017,-177869903235953
"gfdl-esm4","ecotroph","ssp5",2018,-81107751237103
"gfdl-esm4","ecotroph","ssp5",2019,-164228140964020
"gfdl-esm4","ecotroph","ssp5",2020,-326659471021483
"gfdl-esm4","ecotroph","ssp5",2021,-209460156921675
"gfdl-esm4","ecotroph","ssp5",2022,-226813779938583
"gfdl-esm4","ecotroph","ssp5",2023,-149165571489190
"gfdl-esm4","ecotroph","ssp5",2024,-160172895929063
"gfdl-esm4","ecotroph","ssp5",2025,-173582906862160
"gfdl-esm4","ecotroph","ssp5",2026,-231282265348560
"gfdl-esm4","ecotroph","ssp5",2027,-213958587127916
"gfdl-esm4","ecotroph","ssp5",2028,-204237834259060
"gfdl-esm4","ecotroph","ssp5",2029,-301227305411939
"gfdl-esm4","ecotroph","ssp5",2030,-180294256013485
"gfdl-esm4","ecotroph","ssp5",2031,-283849174468500
"gfdl-esm4","ecotroph","ssp5",2032,-396615957968921
"gfdl-esm4","ecotroph","ssp5",2033,-390932386344510
"gfdl-esm4","ecotroph","ssp5",2034,-273791172559156
"gfdl-esm4","ecotroph","ssp5",2035,-294039311787775
"gfdl-esm4","ecotroph","ssp5",2036,-377777759428169
"gfdl-esm4","ecotroph","ssp5",2037,-389994899487597
"gfdl-esm4","ecotroph","ssp5",2038,-353667004164642
"gfdl-esm4","ecotroph","ssp5",2039,-367712500674990
"gfdl-esm4","ecotroph","ssp5",2040,-426544319021988
"gfdl-esm4","ecotroph","ssp5",2041,-429259577297148
"gfdl-esm4","ecotroph","ssp5",2042,-458621629837738
"gfdl-esm4","ecotroph","ssp5",2043,-564359230668966
"gfdl-esm4","ecotroph","ssp5",2044,-607745959096433
"gfdl-esm4","ecotroph","ssp5",2045,-658057393220382
"gfdl-esm4","ecotroph","ssp5",2046,-569908220026639
"gfdl-esm4","ecotroph","ssp5",2047,-499816194527169
"gfdl-esm4","ecotroph","ssp5",2048,-585916786579884
"gfdl-esm4","ecotroph","ssp5",2049,-762177587327810
"gfdl-esm4","ecotroph","ssp5",2050,-649341525015349
"gfdl-esm4","ecotroph","ssp5",2051,-653915262311330
"gfdl-esm4","ecotroph","ssp5",2052,-791180432883469
"gfdl-esm4","ecotroph","ssp5",2053,-739971522298254
"gfdl-esm4","ecotroph","ssp5",2054,-813187948416388
"gfdl-esm4","ecotroph","ssp5",2055,-800003367184895
"gfdl-esm4","ecotroph","ssp5",2056,-656062292454351
"gfdl-esm4","ecotroph","ssp5",2057,-840362338286143
"gfdl-esm4","ecotroph","ssp5",2058,-809240447064891
"gfdl-esm4","ecotroph","ssp5",2059,-828092747243403
"gfdl-esm4","ecotroph","ssp5",2060,-817892930612363
"gfdl-esm4","ecotroph","ssp5",2061,-981373105181086
"gfdl-esm4","ecotroph","ssp5",2062,-901790504861751
"gfdl-esm4","ecotroph","ssp5",2063,-937329282692043
"gfdl-esm4","ecotroph","ssp5",2064,-1051353797627113
"gfdl-esm4","ecotroph","ssp5",2065,-901521954079089
"gfdl-esm4","ecotroph","ssp5",2066,-868390531661750
"gfdl-esm4","ecotroph","ssp5",2067,-1040522591516196
"gfdl-esm4","ecotroph","ssp5",2068,-1004675796740313
"gfdl-esm4","ecotroph","ssp5",2069,-1217856205218339
"gfdl-esm4","ecotroph","ssp5",2070,-1232486805821328
"gfdl-esm4","ecotroph","ssp5",2071,-1211865454735817
"gfdl-esm4","ecotroph","ssp5",2072,-1165294844615420
"gfdl-esm4","ecotroph","ssp5",2073,-1236018224816874
"gfdl-esm4","ecotroph","ssp5",2074,-1145293399648783
"gfdl-esm4","ecotroph","ssp5",2075,-1268578449847752
"gfdl-esm4","ecotroph","ssp5",2076,-1163702749480895
"gfdl-esm4","ecotroph","ssp5",2077,-1279187627675135
"gfdl-esm4","ecotroph","ssp5",2078,-1392188442330890
"gfdl-esm4","ecotroph","ssp5",2079,-1272931106985986
"gfdl-esm4","ecotroph","ssp5",2080,-1292265244632906
"gfdl-esm4","ecotroph","ssp5",2081,-1391426967077023
"gfdl-esm4","ecotroph","ssp5",2082,-1526534413569229
"gfdl-esm4","ecotroph","ssp5",2083,-1411026960079138
"gfdl-esm4","ecotroph","ssp5",2084,-1412192378174436
"gfdl-esm4","ecotroph","ssp5",2085,-1501683881898190
"gfdl-esm4","ecotroph","ssp5",2086,-1552951299987384
"gfdl-esm4","ecotroph","ssp5",2087,-1503447149299519
"gfdl-esm4","ecotroph","ssp5",2088,-1557715972573647
"gfdl-esm4","ecotroph","ssp5",2089,-1764741871594444
"gfdl-esm4","ecotroph","ssp5",2090,-1593819132991301
"gfdl-esm4","ecotroph","ssp5",2091,-1545229759640931
"gfdl-esm4","ecotroph","ssp5",2092,-1620835672630664
"gfdl-esm4","ecotroph","ssp5",2093,-1570601269546951
"gfdl-esm4","ecotroph","ssp5",2094,-1619498425206082
"gfdl-esm4","ecotroph","ssp5",2095,-1786016533485004
"gfdl-esm4","ecotroph","ssp5",2096,-1775703910647294
"gfdl-esm4","ecotroph","ssp5",2097,-1683021650890131
"gfdl-esm4","ecotroph","ssp5",2098,-1738175246667831
"gfdl-esm4","ecotroph","ssp5",2099,-1853554657537452
"gfdl-esm4","ecotroph","ssp5",2100,-1938231123298478
"gfdl-esm4","macroecological","historical",1950,7059355795476
"gfdl-esm4","macroecological","historical",1951,321962219808332
"gfdl-esm4","macroecological","historical",1952,386756237063512
"gfdl-esm4","macroecological","historical",1953,670798650563124
"gfdl-esm4","macroecological","historical",1954,763272313322424
"gfdl-esm4","macroecological","historical",1955,1035334563898492
"gfdl-esm4","macroecological","historical",1956,978968469725844
"gfdl-esm4","macroecological","historical",1957,844115456596812
"gfdl-esm4","macroecological","historical",1958,1198292028332820
